lon,lat,type,loctype,address,north,south,east,west,locality,postal_town,administrative_area_level_2,administrative_area_level_1,country,administrative_area_level_4,postal_code,route,neighborhood,political,establishment,street_number,administrative_area_level_3,locality.1,premise,campground,colloquial_area,bus_station,subpremise,postal_code_suffix,route.1,bar,political.1,premise.1,art_gallery,airport,archipelago
-2.2405035,53.7892877,locality,approximate,"burnley, uk",53.82169769999999,53.7616709,-2.1961116,-2.3039689,Burnley,Burnley,Lancashire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2596384,53.8187941,administrative_area_level_4,approximate,"reedley hallows, uk",53.8310212,53.807753,-2.221953,-2.2773904,NA,NA,Lancashire,England,United Kingdom,Reedley Hallows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2551546,53.76457809999999,administrative_area_level_4,approximate,"habergham eaves, burnley bb11, uk",53.7820694,53.7490421,-2.2255379,-2.2877135,NA,Burnley,Lancashire,England,United Kingdom,Habergham Eaves,BB11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2551546,53.76457809999999,administrative_area_level_4,approximate,"habergham eaves, burnley bb11, uk",53.7820694,53.7490421,-2.2255379,-2.2877135,NA,Burnley,Lancashire,England,United Kingdom,Habergham Eaves,BB11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.487529,53.748575,locality,approximate,"blackburn, uk",53.78659589999999,53.7126712,-2.4250897,-2.5647704,Blackburn,NA,Blackburn with Darwen,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.400249,53.781914,locality,approximate,"great harwood, uk",53.8166051,53.7737403,-2.3689591,-2.4484516,Great Harwood,NA,Lancashire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.894728,54.216653,locality,approximate,"lindale, grange-over-sands la11 6lj, uk",54.2231768,54.2101282,-2.8787206,-2.9107354,Lindale,Grange-over-Sands,Cumbria,England,United Kingdom,NA,LA11 6LJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.219377,53.835187,locality,approximate,"nelson bb9, uk",53.8505541,53.8202552,-2.1786375,-2.2400693,Nelson,Nelson,Lancashire,England,United Kingdom,NA,BB9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2367309,53.82160400000001,locality,approximate,"brierfield, uk",53.835001,53.8146583,-2.2010933,-2.2517162,Brierfield,NA,Lancashire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.839557,54.630444,locality,approximate,"dacre, penrith ca11 0hj, uk",54.6369023,54.62398469999999,-2.8235496,-2.8555644,Dacre,Penrith,Cumbria,England,United Kingdom,NA,CA11 0HJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
